Geneid,Chr,Start,End,Strand,Length
YBL007C,II,212632,216366,-,3735
tL(UAA)B2,II,347603,347686,+,84
YBL093C,II,44256,44918,-,663
YBL091C,II,47363,48628,-,1266
YBR142W,II,528317,530638,+,2322
YBR047W,II,331833,332360,+,528
YBR238C,II,695107,697302,-,2196
YBR067C,II,372103,372735,-,633
YBR010W,II,256331,256741,+,411
YBL054W,II,117589,119166,+,1578
YBR209W,II,642583,642900,+,318
YBL060W,II,107932,109995,+,2064
YBR089W,II,425183,425782,+,600
YBR025C,II,290681,291865,-,1185
YBR040W,II,316968,317864,+,897
YBR230C,II,679549,680050,-,502
YBL027W,II,168423,169376,+,954
YBL100C,II,36989,37303,-,315
YBR261C,II,734832,735530,-,699
YBR034C,II,304930,305976,-,1047
YBR101C,II,443821,444693,-,873
YBL010C,II,206107,206949,-,843
YBR053C,II,339675,340751,-,1077
YBL059C-A,II,110125,110539,-,415
YBR255C-A,II,726618,727074,-,457
YBL042C,II,138341,140260,-,1920
YBL039C,II,143989,145728,-,1740
YBR217W,II,657832,658392,+,561
YBR200W-A,II,622983,623147,+,165
YBL003C,II,235394,235792,-,399
YBR069C,II,376574,378433,-,1860
YBR056W-A,II,351255,351455,+,201
YBR009C,II,255373,255684,-,312
YBL038W,II,146187,146885,+,699
YBR056C-B,II,351293,351451,-,159
YBR081C,II,401253,405251,-,3999
YBR007C,II,248806,251016,-,2211
YBR146W,II,535260,536096,+,837
YBR171W,II,578364,578984,+,621
YBL028C,II,167518,167838,-,321
YBR135W,II,504854,505306,+,453
YBR264C,II,737770,738369,-,600
YBR043C,II,321876,323945,-,2070
YBL059W,II,110594,111244,+,651
YBR131W,II,497163,499277,+,2115
YBR233W-A,II,684977,685261,+,285
YBR092C,II,427698,429101,-,1404
YBR126C,II,488905,490392,-,1488
YBR057C,II,352193,353293,-,1101
YBR086C,II,420201,423041,-,2841
YBR174C,II,582338,582652,-,315
snR56,II,88190,88277,+,88
YBR281C,II,764970,767606,-,2637
YBL103C,II,22076,23536,-,1461
tG(GCC)B,II,197629,197699,-,71
YBR159W,II,558685,559728,+,1044
YBR118W,II,477671,479047,+,1377
YBL004W,II,227636,235117,+,7482
YBR163W,II,565723,567480,+,1758
YBL013W,II,202056,203261,+,1206
YBL112C,II,2582,2899,-,318
YBR231C,II,682179,683090,-,912
YBL066C,II,96669,100115,-,3447
YBR008C,II,252563,254209,-,1647
YBL015W,II,194122,195702,+,1581
YBR038W,II,311898,314789,+,2892
YBL018C,II,185998,186474,-,477
YBR253W,II,723270,723635,+,366
YBL068W-A,II,91794,92030,+,237
YBR058C,II,353672,356017,-,2346
YBL084C,II,67169,69445,-,2277
YBR224W,II,670125,670640,+,516
YBR077C,II,391805,392293,-,489
YBL087C,II,59822,60739,-,918
YBR098W,II,441515,443590,+,2076
YBR239C,II,698354,699943,-,1590
YBR168W,II,572371,573612,+,1242
YBL046W,II,132424,133749,+,1326
YBR003W,II,242809,244230,+,1422
YBR215W,II,653356,655317,+,1962
LSR1,II,680688,681862,-,1175
YBL025W,II,171481,171918,+,438
YBR105C,II,450881,451969,-,1089
YBR200W,II,620872,622527,+,1656
YBR190W,II,605966,606277,+,312
YBR248C,II,714807,716465,-,1659
YBR145W,II,533762,534817,+,1056
YBL047C,II,127895,132040,-,4146
YBR099C,II,442924,443307,-,384
YBL014C,II,199064,201748,-,2685
YBR062C,II,365976,366600,-,625
YBL092W,II,45978,46370,+,393
YBR240C,II,700490,701842,-,1353
YBR251W,II,721390,722313,+,924
YBR199W,II,618909,620303,+,1395
YBR128C,II,493081,494115,-,1035
YBR139W,II,515664,517190,+,1527
YBL070C,II,90605,90925,-,321
YBR054W,II,343101,344135,+,1035
YBL039W-B,II,143393,143572,+,180
YBR072W,II,382030,382674,+,645
YBR111C,II,461178,461873,-,696
YBL001C,II,237153,237467,-,315
YBR110W,II,458872,460221,+,1350
YBL111C,II,2907,5009,-,2103
YBL036C,II,150447,151220,-,774
tR(UCU)B,II,405878,405949,+,72
YBL094C,II,43765,44097,-,333
YBR033W,II,301944,304703,+,2760
YBL073W,II,87646,87957,+,312
YBR096W,II,436021,436713,+,693
YBL053W,II,119335,119709,+,375
YBR030W,II,298292,299950,+,1659
YBL076C,II,81043,84261,-,3219
YBR256C,II,727386,728102,-,717
YBR162W-A,II,565231,565428,+,198
YBL077W,II,80897,81328,+,432
YBR156C,II,551104,553200,-,2097
YBL012C,II,203406,203807,-,402
YBL008W-A,II,209409,209648,+,240
YBR297W,II,800523,801929,+,1407
YBR189W,II,604508,605508,+,1001
YBL096C,II,43174,43482,-,309
YBR011C,II,257112,257975,-,864
YBL041W,II,141247,141972,+,726
YBL081W,II,71866,72972,+,1107
YBR089C-A,II,426190,426489,-,300
YBR103C-A,II,449320,449463,-,144
YBR296C,II,796798,798522,-,1725
YBL040C,II,142112,142868,-,757
YBR165W,II,568852,569685,+,834
YBL026W,II,170623,171038,+,416
YBR082C,II,406628,407169,-,542
YBR280C,II,762784,764697,-,1914
YBR061C,II,364787,365719,-,933
YBL016W,II,192451,193512,+,1062
YBR175W,II,582408,583355,+,948
YBR029C,II,296369,297742,-,1374
YBL057C,II,112801,113427,-,627
YBR298C-A,II,805035,805256,-,222
YBR192W,II,607652,608785,+,1134
tQ(UUG)B,II,350827,350898,+,72
YBR302C,II,810340,811479,-,1140
YBR254C,II,723736,724263,-,528
YBR204C,II,632254,633381,-,1128
YBR220C,II,662995,664677,-,1683
YBR222C,II,666720,668351,-,1632
YBR290W,II,782591,783556,+,966
YBR162C,II,563203,564570,-,1368
YBR167C,II,571468,571890,-,423
YBL033C,II,158656,159693,-,1038
YBR228W,II,675313,676227,+,915
YBR263W,II,736264,737736,+,1473
YBR250W,II,719033,720604,+,1572
YBR272C,II,746361,747803,-,1443
YBR120C,II,480435,480923,-,489
YBR084C-A,II,414186,415261,-,1076
YBL062W,II,105308,105688,+,381
YBR301W,II,809057,809419,+,363
YBR076W,II,390227,391291,+,1065
YBR210W,II,645550,645978,+,429
YBR106W,II,452658,453224,+,567
YBR005W,II,245906,246547,+,642
YBR153W,II,547460,548194,+,735
YBR132C,II,499652,501442,-,1791
YBR166C,II,569842,571200,-,1359
YBR221W-A,II,666538,666642,+,105
YBR131C-A,II,497650,497739,-,90
YBR161W,II,561634,562764,+,1131
YBR109C,II,457919,458362,-,444
YBR255W,II,724456,726540,+,2085
YBR205W,II,633622,634836,+,1215
YBR296C-A,II,800123,800242,-,120
YBL043W,II,136688,137461,+,774
YBR130C,II,495592,496869,-,1278
YBR206W,II,634601,634924,+,324
YBR122C,II,483970,484503,-,534
YBR295W,II,792849,796499,+,3651
YBR004C,II,244366,245667,-,1302
YBR202W,II,625772,628309,+,2538
YBR001C,II,238941,241283,-,2343
YBL113C,II,280,2658,-,2379
YBR288C,II,778012,779463,-,1452
YBR282W,II,768240,768680,+,441
YBL072C,II,88523,89125,-,603
YBR103W,II,447709,449316,+,1608
YBR107C,II,453793,454530,-,738
YBL024W,II,172534,174588,+,2055
YBR012C,II,259147,259566,-,420
YBR188C,II,603685,604107,-,423
YBL075C,II,84499,86448,-,1950
YBR102C,II,445062,447323,-,2262
YBR006W,II,247010,248503,+,1494
YBL051C,II,122753,124759,-,2007
YBR196C,II,612236,613900,-,1665
YBL031W,II,161699,162715,+,1017
YBR141W-A,II,527167,527262,+,96
YBL006W-A,II,216711,216860,+,150
YBL100W-C,II,28427,28546,+,120
YBR236C,II,690383,691693,-,1311
YBR276C,II,757620,760043,-,2424
YBR036C,II,309081,310313,-,1233
YBR045C,II,328173,330092,-,1920
YBR291C,II,783673,784572,-,900
YBR137W,II,513044,513583,+,540
YBR079C,II,395383,398277,-,2895
YBR017C,II,270947,273703,-,2757
YBL044W,II,135998,136366,+,369
YBL023C,II,174920,177526,-,2607
YBR127C,II,491269,492822,-,1554
YBR152W,II,546376,547251,+,876
YBR035C,II,306269,306955,-,687
YBR289W,II,779667,782384,+,2718
YBL017C,II,186844,191583,-,4740
YBR157C,II,553543,554310,-,768
YBL104C,II,18177,21293,-,3117
YBL109W,II,5790,6125,+,336
tL(UAA)B1,II,9583,9666,+,84
YBR072C-A,II,382860,383021,-,162
YBR300C,II,808600,809097,-,498
YBR195C,II,610614,611882,-,1269
YBR233W,II,683428,684669,+,1242
YBR262C,II,735720,736040,-,321
YBR020W,II,279021,280607,+,1587
YBR085C-A,II,418907,419164,-,258
YBR123C,II,484742,486691,-,1950
YBR221C,II,665153,666253,-,1101
YBL029W,II,166134,167264,+,1131
YBL045C,II,134143,135516,-,1374
YBR191W-A,II,607149,607223,+,75
YBR154C,II,548362,549009,-,648
YBR278W,II,760294,760899,+,606
YBR273C,II,748061,749371,-,1311
YBR032W,II,301519,301821,+,303
YBR048W,II,332831,333812,+,982
YBR104W,II,449667,450656,+,990
YBL079W,II,75259,79767,+,4509
YBR265W,II,738582,739544,+,963
YBR249C,II,716882,717994,-,1113
YBR203W,II,629168,631942,+,2775
YBR184W,II,597363,598934,+,1572
YBR170C,II,576344,578086,-,1743
YBR173C,II,581726,582172,-,447
YBR133C,II,501804,504287,-,2484
YBR275C,II,751356,757106,-,5751
YBL108W,II,8177,8482,+,306
YBL113W-A,II,646,1128,+,483
YBL085W,II,63876,66818,+,2943
YBL052C,II,119379,121874,-,2496
YBL009W,II,207194,209224,+,2031
YBR283C,II,768943,770415,-,1473
YBR094W,II,432036,434297,+,2262
YBR258C,II,729734,730162,-,429
YBR201W,II,623576,624211,+,636
YBR070C,II,379221,379934,-,714
tE(UUC)B,II,645167,645238,+,72
YBR198C,II,616127,618523,-,2397
YBL056W,II,113762,115168,+,1407
YBL099W,II,37053,38690,+,1638
YBR257W,II,728885,729724,+,840
YBR126W-A,II,490850,491056,+,207
YBR242W,II,704670,705386,+,717
YBL008W,II,209653,212175,+,2523
YBR181C,II,591712,592774,-,1063
tC(GCA)B,II,643007,643078,-,72
YBR052C,II,338720,339352,-,633
YBR093C,II,429548,430951,-,1404
YBR049C,II,334386,336818,-,2433
YBR056W,II,347879,349384,+,1506
YBL030C,II,163041,163997,-,957
tT(AGU)B,II,266378,266450,+,73
YBR141C,II,527025,528038,-,1014
YBR226C,II,673155,673565,-,411
YBL005W,II,217470,220400,+,2931
YBR151W,II,545028,545978,+,951
YBR144C,II,533235,533549,-,315
YBR178W,II,586071,586445,+,375
YBR138C,II,513762,515336,-,1575
YBL090W,II,48825,49358,+,534
YBL105C,II,14241,17696,-,3456
YBL102W,II,24098,24745,+,648
YBL011W,II,203538,205817,+,2280
YBR095C,II,434406,435698,-,1293
YBR196C-B,II,614526,614630,-,105
YBL048W,II,127299,127610,+,312
YBR066C,II,370037,370699,-,663
YBR292C,II,784702,785073,-,372
YBR018C,II,274427,275527,-,1101
YBR194W,II,610038,610409,+,372
YBR076C-A,II,391351,391617,-,267
YBR108W,II,454822,457665,+,2844
YBR046C,II,330507,331511,-,1005
YBR235W,II,686901,690263,+,3363
YBR274W,II,749594,751177,+,1584
YBL006C,II,216587,217129,-,543
YBR186W,II,600553,602360,+,1808
YBR277C,II,760215,760616,-,402
YBR185C,II,599123,599959,-,837
YBL078C,II,80378,80731,-,354
YBR037C,II,310565,311452,-,888
YBR015C,II,267710,269503,-,1794
YBR016W,II,270247,270633,+,387
YBL107W-A,II,9268,9372,+,105
YBL071W-A,II,89978,90226,+,249
YBR269C,II,742160,742576,-,417
YBR266C,II,739936,740388,-,453
YBR055C,II,344602,347301,-,2700
YBR088C,II,424990,425766,-,777
tV(UAC)B,II,326792,326865,-,74
YBL019W,II,184353,185915,+,1563
YBR112C,II,462870,465770,-,2901
YBR164C,II,567875,568426,-,552
YBR148W,II,537876,539705,+,1830
YBL020W,II,182401,184125,+,1725
YBR208C,II,636703,642210,-,5508
tD(GUC)B,II,405960,406031,+,72
YBR172C,II,579150,581372,-,2223
YBL097W,II,40831,43095,+,2265
YBR050C,II,337183,338199,-,1017
YBR183W,II,596115,597065,+,951
YBR213W,II,650368,651192,+,825
YBR113W,II,465566,466048,+,483
YBL091C-A,II,46565,47180,-,616
YBR196C-A,II,614024,614173,-,150
YBR286W,II,774700,776313,+,1614
YBR268W,II,741299,741616,+,318
YBR058C-A,II,356324,356566,-,243
YBR287W,II,776571,777854,+,1284
YBL083C,II,69713,70138,-,426
YBL061C,II,105316,107406,-,2091
YBR267W,II,739841,741022,+,1182
YBR114W,II,467248,469620,+,2373
YBL032W,II,160184,161329,+,1146
YBR219C,II,662499,663303,-,805
tF(GAA)B,II,36398,36488,+,91
YBR299W,II,805351,807105,+,1755
YBR191W,II,606270,607140,+,871
YBR125C,II,487199,488380,-,1182
YBL069W,II,90741,92030,+,1290
YBR223C,II,668663,670297,-,1635
YBR074W,II,386286,389216,+,2931
YBR201C-A,II,624493,624696,-,204
YBR187W,II,602634,603476,+,843
YBL021C,II,181660,182094,-,435
YBL049W,II,126828,127244,+,417
YBL035C,II,151493,153610,-,2118
YBL095W,II,43277,44089,+,813
YBR073W,II,383112,385988,+,2877
YBR109W-A,II,458608,458832,+,225
YBR260C,II,732639,734639,-,2001
YBR279W,II,761257,762594,+,1338
YBR211C,II,646158,647132,-,975
YBR078W,II,393123,394742,+,1620
YBR063C,II,366970,368184,-,1215
YBR028C,II,294425,296002,-,1578
YBL039C-A,II,144948,145031,-,84
YBR129C,II,494353,495339,-,987
YBL050W,II,125125,126119,+,995
YBR051W,II,337988,338338,+,351
YBR080C,II,398614,400890,-,2277
YBL058W,II,111437,112708,+,1272
YBL101C,II,24946,28299,-,3354
YBR140C,II,517350,526628,-,9279
YBR021W,II,281443,283344,+,1902
YBR232C,II,683373,683732,-,360
YBR024W,II,289445,290350,+,906
YBL005W-B,II,221330,226598,+,5269
YBL100W-A,II,29935,31251,+,1317
YBR012W-B,II,259869,265140,+,5272
YBR012W-A,II,259869,261191,+,1323
YBL005W-A,II,221330,222652,+,1323
YBL100W-B,II,29935,35248,+,5314
YCR031C,III,177500,178220,-,721
YCL011C,III,102075,103358,-,1284
YCL040W,III,50838,52340,+,1503
YCR052W,III,214994,216445,+,1452
YCR100C,III,301271,302221,-,951
YCR107W,III,313890,314981,+,1092
YCL002C,III,110808,111675,-,868
YCL024W,III,79162,82275,+,3114
YCR060W,III,224399,224734,+,336
YCR071C,III,240103,240543,-,441
YCR007C,III,126011,126730,-,720
YCL012C,III,101317,101788,-,472
YCR081C-A,III,258415,258651,-,237
YCR036W,III,193297,194298,+,1002
YCR063W,III,228318,228791,+,474
YCL042W,III,50584,50943,+,360
YCR097W-A,III,294439,294705,+,267
YCR025C,III,163446,163856,-,411
tK(CUU)C,III,151284,151356,-,73
YCR069W,III,239055,240011,+,957
YCR041W,III,200911,201243,+,333
YCR102W-A,III,306735,306932,+,198
YCR020C-A,III,154830,155096,-,267
YCL075W,III,2126,2566,+,441
YCR092C,III,276764,279820,-,3057
YCR005C,III,120946,122328,-,1383
YCR038W-A,III,199293,199418,+,126
YCL034W,III,61658,62722,+,1065
YCL026C-B,III,73405,73986,-,582
YCR020W-B,III,155320,155556,+,237
YCR094W,III,286762,287937,+,1176
YCL028W,III,70150,71367,+,1218
YCL029C,III,68599,69921,-,1323
YCL074W,III,2824,3750,+,927
tQ(UUG)C,III,168301,168372,-,72
YCR086W,III,263392,263964,+,573
YCR006C,III,122530,123003,-,474
YCR083W,III,259578,259961,+,384
YCL039W,III,52645,54882,+,2238
YCL037C,III,57374,58678,-,1305
tE(UUC)C,III,82462,82533,-,72
YCL004W,III,109105,110670,+,1566
YCL076W,III,1392,2135,+,744
YCR011C,III,133724,136873,-,3150
YCL054W-A,III,30910,30996,+,87
YCR020C,III,154012,154659,-,648
YCL065W,III,13751,14119,+,369
YCL057W,III,24768,26906,+,2139
YCL069W,III,9706,11082,+,1377
YCR045W-A,III,208751,209101,+,351
YCL048W,III,42165,43556,+,1392
YCR002C,III,117380,118348,-,969
YCR035C,III,191834,193018,-,1185
YCR066W,III,231500,232963,+,1464
YCR032W,III,179520,186023,+,6504
YCL059C,III,22429,23379,-,951
YCR079W,III,252845,254173,+,1329
YCR021C,III,156109,157107,-,999
YCL026C-A,III,74704,75285,-,582
YCL046W,III,46640,46963,+,324
YCR104W,III,307801,308175,+,375
YCL001W,III,111916,112482,+,567
YCR054C,III,218376,220067,-,1692
YCR046C,III,209914,210423,-,510
YCR064C,III,228095,228505,-,411
YCL001W-B,III,113770,114024,+,255
YCR017C,III,144773,147634,-,2862
YCR097W,III,293835,294321,+,487
YCL041C,III,50133,50627,-,495
YCR043C,III,206261,206644,-,384
YCR095W-A,III,289639,289797,+,159
YCL009C,III,104619,105548,-,930
tP(AGG)C,III,123577,123648,-,72
YCR014C,III,139185,140933,-,1749
YCL036W,III,59026,60726,+,1701
YCR051W,III,214071,214739,+,669
YCL045C,III,44623,46905,-,2283
YCL005W,III,108021,108791,+,771
snR43,III,107504,107712,-,209
YCR088W,III,265068,266846,+,1779
YCR037C,III,194414,197185,-,2772
YCR077C,III,250238,252628,-,2391
YCR009C,III,130745,131542,-,798
YCR098C,III,297049,298605,-,1557
YCR047W-A,III,211301,211507,+,207
YCR073W-A,III,246963,247910,+,948
YCR039C,III,199546,200178,-,633
YCL032W,III,63441,64481,+,1041
YCR049C,III,211871,212317,-,447
YCR076C,III,249293,250045,-,753
YCL057C-A,III,24032,24325,-,294
YCR053W,III,216697,218241,+,1545
YCL008C,III,105696,106853,-,1158
YCR072C,III,240805,242352,-,1548
YCR057C,III,220457,223228,-,2772
YCL044C,III,47111,48364,-,1254
YCL033C,III,62776,63282,-,507
YCL030C,III,65934,68333,-,2400
YCL068C,III,11503,12285,-,783
YCL035C,III,60841,61173,-,333
YCR008W,III,128470,130281,+,1812
tS(CGA)C,III,227942,228042,+,101
YCR091W,III,274404,276566,+,2163
YCR108C,III,315997,316188,-,192
YCR042C,III,201174,205397,-,4224
snR65,III,177183,177282,+,100
YCL055W,III,27929,28936,+,1008
YCR003W,III,118620,119171,+,552
YCR022C,III,157421,157765,-,345
YCR089W,III,267434,272263,+,4830
tG(GCC)C,III,142701,142771,-,71
YCL016C,III,94621,95763,-,1143
YCL031C,III,64675,65568,-,894
YCL048W-A,III,41488,41727,+,240
YCR018C,III,148238,148903,-,666
YCL022C,III,81570,82085,-,516
YCR087C-A,III,264006,264467,-,462
tT(AGU)C,III,295484,295556,+,73
YCL023C,III,78949,79296,-,348
YCL010C,III,103571,104350,-,780
YCR001W,III,115685,115999,+,315
tM(CAU)C,III,149920,149991,+,72
YCL018W,III,91324,92418,+,1095
YCR073C,III,242588,246583,-,3996
YCR048W,III,211929,213761,+,1833
YCL005W-A,III,107023,107417,+,395
YCR033W,III,186489,190169,+,3681
YCL007C,III,106974,107366,-,393
YCR019W,III,152837,153928,+,1092
YCR102C,III,304361,305467,-,1107
YCR075W-A,III,248975,249202,+,228
YCL058W-A,III,23584,23925,+,342
YCL047C,III,43661,44437,-,777
YCR106W,III,310958,313456,+,2499
YCR040W,III,200442,200969,+,528
YCR061W,III,225563,227458,+,1896
YCR045C,III,208135,209610,-,1476
